Potentiometer Value,Angle
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,2
10,3
11,3
14,4
15,4
16,4
18,5
20,6
22,6
23,6
25,7
26,7
27,8
29,8
30,9
32,9
33,10
34,10
35,10
38,11
39,11
40,12
41,12
42,12
43,13
44,13
45,13
46,13
48,14
49,14
50,15
51,15
54,16
55,16
56,16
58,17
59,17
65,19
69,20
70,21
72,21
73,22
75,22
77,23
78,23
79,23
80,24
82,24
83,25
84,25
85,25
86,26
87,26
88,26
91,27
92,27
93,28
94,28
95,28
97,29
98,29
99,30
102,30
105,31
106,32
107,32
109,33
111,33
114,34
117,35
118,35
119,36
122,36
124,37
125,37
126,38
129,39
131,39
132,40
133,40
134,40
136,41
137,41
139,42
142,43
144,43
145,43
147,44
150,45
151,45
152,46
154,46
156,47
157,47
158,47
160,48
161,48
164,49
167,50
168,50
170,51
172,52
173,52
174,52
178,53
181,54
188,56
189,57
190,57
191,57
192,58
193,58
195,59
196,59
198,60
200,60
201,60
202,61
203,61
205,62
210,63
212,64
214,64
215,65
216,65
217,65
219,66
223,67
224,67
225,68
226,68
230,69
233,70
235,71
236,71
237,71
238,72
240,72
241,73
244,73
245,74
246,74
248,75
250,75
251,76
257,77
262,79
270,81
279,84
280,84
282,85
286,86
287,86
290,87
291,88
293,88
295,89
299,90
302,91
303,91
304,92
305,92
308,93
315,95
316,95
317,96
318,96
320,96
322,97
324,98
326,98
327,99
331,100
337,102
338,102
340,103
341,103
345,104
346,104
348,105
351,106
353,106
354,107
355,107
356,107
359,108
361,109
365,110
367,111
369,111
371,112
372,112
374,113
375,113
376,113
377,114
380,115
382,115
382,115
383,116
385,116
387,117
388,117
390,118
391,118
393,119
394,119
395,119
397,120
399,120
402,121
403,122
405,122
408,123
410,124
411,124
412,124
413,125
414,125
417,126
421,127
423,128
424,128
425,128
426,129
427,129
428,129
429,130
431,130
432,130
433,131
434,131
437,132
439,133
441,133
442,133
443,134
446,135
448,135
449,136
450,136
452,136
453,137
455,137
456,138
459,139
460,139
461,139
463,140
464,140
467,141
468,141
469,142
470,142
471,142
474,143
475,143
476,144
478,144
479,145
481,145
482,146
484,146
485,146
486,147
487,147
488,147
489,148
491,148
496,150
497,150
500,151
503,152
504,152
506,153
508,153
509,154
511,154
512,155
513,155
515,156
519,157
520,157
521,157
522,158
525,159
527,159
529,160
532,161
533,161
534,161
536,162
539,163
540,163
541,163
543,164
544,164
545,165
546,165
547,165
550,166
551,166
552,167
552,167
554,167
561,170
565,171
568,172
572,173
575,174
578,175
579,175
583,176
586,177
590,178
592,179
594,180
595,180
598,181
599,181
600,181
604,183
606,183
610,184
611,185
612,185
613,185
616,186
618,187
619,187
620,187
624,189
625,189
626,189
628,190
630,190
634,192
637,193
639,193
641,194
645,195
647,196
650,196
651,197
653,197
654,198
657,199
660,200
664,201
666,201
667,202
668,202
671,203
673,203
675,204
677,205
685,207
687,208
688,208
691,209
692,209
697,211
702,212
705,213
708,214
709,214
712,215
713,216
714,216
717,217
720,218
722,218
723,219
725,219
728,220
732,221
735,222
737,223
739,223
740,224
741,224
744,225
745,225
747,226
748,226
749,226
750,227
753,228
758,229
767,232
772,233
776,235
778,235
781,236
782,236
783,237
785,237
788,238
789,239
793,240
794,240
798,241
799,242
800,242
804,243
810,245
820,248
831,251
835,253
836,253
838,253
841,254
843,255
844,255
845,256
849,257
859,260
861,260
865,262
872,264
878,266
880,266
882,267
883,267
885,268
891,270
892,270
893,270
897,271
901,273
904,273
906,274
910,275
912,276
916,277
917,277
921,279
923,279
926,280
932,282
936,283
939,284
942,285
944,286
950,287
958,290
961,291
964,292
965,292
972,294
978,296
980,296
982,297
984,298
986,298
988,299
993,300
996,301
997,302
998,302
1000,303
1004,304
1005,304
1006,304
1007,305
1008,305
1009,305
1010,306
1012,306
1014,307
1015,307
1016,307
1017,308
1018,308
1019,308
1020,309
1021,309
1022,309
1023,310
