Frequency (Hz)	Level (dB)
43.066406	-69.381172
86.132812	-65.767563
129.199219	-56.861767
172.265625	-31.771444
215.332031	-24.390331
258.398438	-28.636869
301.464844	-49.675251
344.531250	-43.051006
387.597656	-24.191933
430.664062	-15.983604
473.730469	-18.676332
516.796875	-36.165371
559.863281	-47.649010
602.929688	-36.253235
645.996094	-26.960760
689.062500	-28.749300
732.128906	-43.852680
775.195312	-55.754761
818.261719	-46.537876
861.328125	-40.405060
904.394531	-41.516048
947.460938	-53.196415
990.527344	-57.406437
1033.593750	-48.897701
1076.660156	-37.225712
1119.726562	-34.557144
1162.792969	-41.421200
1205.859375	-56.250595
1248.925781	-58.580894
1291.992188	-49.743149
1335.058594	-42.761272
1378.125000	-45.226662
1421.191406	-55.577259
1464.257812	-59.210873
1507.324219	-48.896072
1550.390625	-42.076260
1593.457031	-44.078686
1636.523438	-54.957531
1679.589844	-53.478912
1722.656250	-41.458073
1765.722656	-35.545303
1808.789062	-37.753174
1851.855469	-50.685783
1894.921875	-52.031437
1937.988281	-40.229717
1981.054688	-37.553963
2024.121094	-42.403130
2067.187500	-56.106030
2110.253906	-60.916767
2153.320312	-52.682732
2196.386719	-48.039619
2239.453125	-49.512512
2282.519531	-56.940510
2325.585938	-60.831326
2368.652344	-58.094505
2411.718750	-51.649841
2454.785156	-48.529369
2497.851562	-49.608925
2540.917969	-52.676929
2583.984375	-49.713467
2627.050781	-45.152832
2670.117188	-43.404491
2713.183594	-45.874058
2756.250000	-48.662148
2799.316406	-41.507374
2842.382812	-37.518906
2885.449219	-38.261707
2928.515625	-43.713539
2971.582031	-52.928864
3014.648438	-49.553654
3057.714844	-46.039661
3100.781250	-46.122627
3143.847656	-50.873375
3186.914062	-59.404995
3229.980469	-61.161648
3273.046875	-58.297146
3316.113281	-53.822620
3359.179688	-54.330807
3402.246094	-61.586823
3445.312500	-54.239841
3488.378906	-50.473965
3531.445312	-50.188919
3574.511719	-51.604710
3617.578125	-57.434883
3660.644531	-57.844711
3703.710938	-55.162148
3746.777344	-47.822296
3789.843750	-43.736904
3832.910156	-48.866959
3875.976562	-52.579052
3919.042969	-48.659748
3962.109375	-50.360867
4005.175781	-52.104118
4048.242188	-58.583317
4091.308594	-64.022179
4134.375000	-61.988819
4177.441406	-61.916714
4220.507812	-56.545040
4263.574219	-57.807636
4306.640625	-54.216858
4349.707031	-48.941177
4392.773438	-49.881554
4435.839844	-51.113811
4478.906250	-54.681854
4521.972656	-63.570587
4565.039062	-62.497124
4608.105469	-65.975594
4651.171875	-66.221626
4694.238281	-67.965195
4737.304688	-72.919327
4780.371094	-72.161194
4823.437500	-71.467178
4866.503906	-71.967972
4909.570312	-71.788490
4952.636719	-69.512978
4995.703125	-65.809586
5038.769531	-65.390030
5081.835938	-67.418365
5124.902344	-69.240570
5167.968750	-68.086159
5211.035156	-67.072266
5254.101562	-68.447990
5297.167969	-69.132790
5340.234375	-70.122978
5383.300781	-72.093842
5426.367188	-69.352509
5469.433594	-67.177628
5512.500000	-65.736664
5555.566406	-64.114517
5598.632812	-63.636932
5641.699219	-64.375175
5684.765625	-65.123207
5727.832031	-66.347343
5770.898438	-69.619247
5813.964844	-71.221786
5857.031250	-70.344566
5900.097656	-71.976898
5943.164062	-74.891495
5986.230469	-74.338303
6029.296875	-74.793846
6072.363281	-74.958855
6115.429688	-73.795227
6158.496094	-69.603493
6201.562500	-64.325058
6244.628906	-61.198948
6287.695312	-58.566101
6330.761719	-57.023113
6373.828125	-58.082455
6416.894531	-58.560654
6459.960938	-57.782150
6503.027344	-59.814926
6546.093750	-61.734219
6589.160156	-62.111153
6632.226562	-62.006111
6675.292969	-61.465252
6718.359375	-63.448162
6761.425781	-65.418884
6804.492188	-67.044952
6847.558594	-68.637642
6890.625000	-68.198860
6933.691406	-69.157074
6976.757812	-72.554733
7019.824219	-72.191681
7062.890625	-70.371117
7105.957031	-71.263756
7149.023438	-74.675858
7192.089844	-76.108772
7235.156250	-77.908539
7278.222656	-79.398781
7321.289062	-79.120773
7364.355469	-77.998024
7407.421875	-78.985657
7450.488281	-78.884514
7493.554688	-78.406731
7536.621094	-77.902573
7579.687500	-76.257240
7622.753906	-76.038399
7665.820312	-76.546875
7708.886719	-73.663651
7751.953125	-70.840286
7795.019531	-67.539764
7838.085938	-68.092163
7881.152344	-73.312546
7924.218750	-75.771027
7967.285156	-74.608513
8010.351562	-71.644478
8053.417969	-72.217102
8096.484375	-74.966949
8139.550781	-75.121452
8182.617188	-73.342651
8225.683594	-71.160828
8268.750000	-72.868881
8311.816406	-76.924278
8354.882812	-77.339867
8397.949219	-73.944221
8441.015625	-70.406212
8484.082031	-72.458351
8527.148438	-76.923737
8570.214844	-78.707664
8613.281250	-80.095039
8656.347656	-79.005142
8699.414062	-79.128517
8742.480469	-80.055405
8785.546875	-79.628273
8828.613281	-79.658211
8871.679688	-77.253426
8914.746094	-75.124931
8957.812500	-75.222527
9000.878906	-75.059479
9043.945312	-74.198898
9087.011719	-73.155067
9130.078125	-72.740623
9173.144531	-73.974121
9216.210938	-75.241379
9259.277344	-75.866936
9302.343750	-76.759438
9345.410156	-76.894020
9388.476562	-78.226707
9431.542969	-80.112274
9474.609375	-81.365257
9517.675781	-81.852173
9560.742188	-80.688774
9603.808594	-80.953758
9646.875000	-82.387756
9689.941406	-84.415649
9733.007812	-85.115387
9776.074219	-84.042862
9819.140625	-84.781181
9862.207031	-88.214577
9905.273438	-90.931564
9948.339844	-90.330032
9991.406250	-91.155136
10034.472656	-93.881493
10077.539062	-93.731689
10120.605469	-92.323044
10163.671875	-91.088402
10206.738281	-89.693398
10249.804688	-87.736534
10292.871094	-87.516289
10335.937500	-87.277359
10379.003906	-84.508774
10422.070312	-83.083580
10465.136719	-84.133667
10508.203125	-87.065735
10551.269531	-90.971397
10594.335938	-90.367966
10637.402344	-91.487122
10680.468750	-92.251686
10723.535156	-92.865135
10766.601562	-94.639961
10809.667969	-95.179253
10852.734375	-95.250381
10895.800781	-96.172867
10938.867188	-96.410515
10981.933594	-94.541191
11025.000000	-94.212509
11068.066406	-92.394249
11111.132812	-90.821037
11154.199219	-89.732170
11197.265625	-89.930214
11240.332031	-90.058914
11283.398438	-89.292084
11326.464844	-88.320068
11369.531250	-88.358437
11412.597656	-88.690315
11455.664062	-89.409416
11498.730469	-89.206291
11541.796875	-89.731934
11584.863281	-91.516884
11627.929688	-91.744080
11670.996094	-91.694199
11714.062500	-92.448616
11757.128906	-91.999031
11800.195312	-92.346046
11843.261719	-93.092072
11886.328125	-93.855255
11929.394531	-93.305878
11972.460938	-92.088295
12015.527344	-91.723106
12058.593750	-92.500656
12101.660156	-92.244377
12144.726562	-92.247711
12187.792969	-92.343559
12230.859375	-92.288467
12273.925781	-91.715012
12316.992188	-91.121323
12360.058594	-91.445602
12403.125000	-90.902138
12446.191406	-91.058693
12489.257812	-90.543213
12532.324219	-90.386772
12575.390625	-90.231865
12618.457031	-89.582397
12661.523438	-88.986359
12704.589844	-89.994469
12747.656250	-91.477852
12790.722656	-91.483177
12833.789062	-91.411842
12876.855469	-90.378639
12919.921875	-90.951103
12962.988281	-93.319534
13006.054688	-93.304474
13049.121094	-92.521622
13092.187500	-92.141815
13135.253906	-93.325371
13178.320312	-93.760597
13221.386719	-92.920464
13264.453125	-93.521439
13307.519531	-93.472389
13350.585938	-93.098976
13393.652344	-93.450813
13436.718750	-94.281815
13479.785156	-94.632195
13522.851562	-95.129074
13565.917969	-94.372070
13608.984375	-95.273262
13652.050781	-96.293678
13695.117188	-96.989929
13738.183594	-97.848351
13781.250000	-97.513481
13824.316406	-96.467972
13867.382812	-96.544258
13910.449219	-97.407768
13953.515625	-96.965576
13996.582031	-96.883415
14039.648438	-98.526756
14082.714844	-98.324722
14125.781250	-97.074364
14168.847656	-97.351509
14211.914062	-98.323616
14254.980469	-98.344925
14298.046875	-98.609077
14341.113281	-97.288086
14384.179688	-95.855507
14427.246094	-96.385490
14470.312500	-97.670403
14513.378906	-97.014343
14556.445312	-97.261894
14599.511719	-96.739349
14642.578125	-96.915352
14685.644531	-97.152328
14728.710938	-96.565033
14771.777344	-96.310059
14814.843750	-96.363670
14857.910156	-96.027679
14900.976562	-95.528656
14944.042969	-94.667023
14987.109375	-94.700096
15030.175781	-95.352188
15073.242188	-95.732002
15116.308594	-95.930344
15159.375000	-96.400299
15202.441406	-96.892181
15245.507812	-95.552773
15288.574219	-95.832314
15331.640625	-96.417328
15374.707031	-96.031441
15417.773438	-96.967705
15460.839844	-97.101654
15503.906250	-97.527496
15546.972656	-97.041733
15590.039062	-97.343552
15633.105469	-97.751030
15676.171875	-97.603287
15719.238281	-95.972023
15762.304688	-96.303505
15805.371094	-97.922836
15848.437500	-98.085632
15891.503906	-97.702293
15934.570312	-96.288094
15977.636719	-97.507507
