Time,X(CH1),
Second,Volt,
-3.0000001e-01,5.60000e-04,
-2.9900002e-01,3.19999e-04,
-2.9800004e-01,3.19999e-04,
-2.9700005e-01,8.00000e-04,
-2.9600006e-01,5.60000e-04,
-2.9500008e-01,3.19999e-04,
-2.9400009e-01,3.19999e-04,
-2.9300010e-01,6.39999e-04,
-2.9200011e-01,3.19999e-04,
-2.9100013e-01,6.39999e-04,
-2.9000014e-01,5.60000e-04,
-2.8900015e-01,2.39999e-04,
-2.8800017e-01,5.60000e-04,
-2.8700018e-01,2.39999e-04,
-2.8600019e-01,2.39999e-04,
-2.8500021e-01,4.79999e-04,
-2.8400022e-01,2.39999e-04,
-2.8300023e-01,4.79999e-04,
-2.8200024e-01,1.59999e-04,
-2.8100026e-01,4.79999e-04,
-2.8000027e-01,2.39999e-04,
-2.7900028e-01,4.79999e-04,
-2.7800030e-01,3.99999e-04,
-2.7700031e-01,1.59999e-04,
-2.7600032e-01,3.19999e-04,
-2.7500033e-01,7.99987e-05,
-2.7400035e-01,2.39999e-04,
-2.7300036e-01,7.99987e-05,
-2.7200037e-01,7.99987e-05,
-2.7100039e-01,3.19999e-04,
-2.7000040e-01,3.19999e-04,
-2.6900041e-01,7.99987e-05,
-2.6800042e-01,2.39999e-04,
-2.6700044e-01,7.99987e-05,
-2.6600045e-01,2.39999e-04,
-2.6500046e-01,-9.31323e-10,
-2.6400048e-01,2.39999e-04,
-2.6300049e-01,-9.31323e-10,
-2.6200050e-01,-9.31323e-10,
-2.6100051e-01,2.39999e-04,
-2.6000053e-01,2.39999e-04,
-2.5900054e-01,-8.00006e-05,
-2.5800055e-01,1.59999e-04,
-2.5700057e-01,-8.00006e-05,
-2.5600058e-01,1.59999e-04,
-2.5500059e-01,-8.00006e-05,
-2.5400060e-01,-9.31323e-10,
-2.5300062e-01,2.39999e-04,
-2.5200063e-01,2.39999e-04,
-2.5100064e-01,-1.60001e-04,
-2.5000066e-01,1.59999e-04,
-2.4900065e-01,-1.60001e-04,
-2.4800065e-01,-8.00006e-05,
-2.4700065e-01,2.39999e-04,
-2.4600065e-01,1.59999e-04,
-2.4500065e-01,-8.00006e-05,
-2.4400064e-01,-8.00006e-05,
-2.4300064e-01,2.39999e-04,
-2.4200064e-01,-9.31323e-10,
-2.4100064e-01,2.39999e-04,
-2.4000064e-01,-9.31323e-10,
-2.3900063e-01,2.39999e-04,
-2.3800063e-01,7.99987e-05,
-2.3700063e-01,3.19999e-04,
-2.3600063e-01,2.39999e-04,
-2.3500063e-01,-9.31323e-10,
-2.3400062e-01,3.19999e-04,
-2.3300062e-01,7.99987e-05,
-2.3200062e-01,3.19999e-04,
-2.3100062e-01,7.99987e-05,
-2.3000062e-01,1.59999e-04,
-2.2900061e-01,4.79999e-04,
-2.2800061e-01,1.59999e-04,
-2.2700061e-01,4.79999e-04,
-2.2600061e-01,4.79999e-04,
-2.2500060e-01,1.59999e-04,
-2.2400060e-01,4.79999e-04,
-2.2300060e-01,2.39999e-04,
-2.2200060e-01,2.39999e-04,
-2.2100060e-01,5.60000e-04,
-2.2000059e-01,2.39999e-04,
