Time,Volt
-6.00E-07,-8.00E-02
-5.98E-07,9.54E-07
-5.96E-07,9.54E-07
-5.94E-07,9.54E-07
-5.92E-07,9.54E-07
-5.90E-07,-8.00E-02
-5.88E-07,9.54E-07
-5.86E-07,9.54E-07
-5.84E-07,9.54E-07
-5.82E-07,9.54E-07
-5.80E-07,-8.00E-02
-5.78E-07,9.54E-07
-5.76E-07,-8.00E-02
-5.74E-07,9.54E-07
-5.72E-07,9.54E-07
-5.70E-07,-8.00E-02
-5.68E-07,-8.00E-02
-5.66E-07,9.54E-07
-5.64E-07,9.54E-07
-5.62E-07,9.54E-07
-5.60E-07,-8.00E-02
-5.58E-07,9.54E-07
-5.56E-07,-8.00E-02
-5.54E-07,9.54E-07
-5.52E-07,9.54E-07
-5.50E-07,-8.00E-02
-5.48E-07,-8.00E-02
-5.46E-07,9.54E-07
-5.44E-07,9.54E-07
-5.42E-07,9.54E-07
-5.40E-07,-8.00E-02
-5.38E-07,-8.00E-02
-5.36E-07,-8.00E-02
-5.34E-07,9.54E-07
-5.32E-07,9.54E-07
-5.30E-07,-8.00E-02
-5.28E-07,9.54E-07
-5.26E-07,9.54E-07
-5.24E-07,9.54E-07
-5.22E-07,9.54E-07
-5.20E-07,-8.00E-02
-5.18E-07,9.54E-07
-5.16E-07,9.54E-07
-5.14E-07,9.54E-07
-5.12E-07,9.54E-07
-5.10E-07,-8.00E-02
-5.08E-07,-8.00E-02
-5.06E-07,9.54E-07
-5.04E-07,9.54E-07
-5.02E-07,9.54E-07
-5.00E-07,9.54E-07
-4.98E-07,9.54E-07
-4.96E-07,9.54E-07
-4.94E-07,9.54E-07
-4.92E-07,9.54E-07
-4.90E-07,-8.00E-02
-4.88E-07,9.54E-07
-4.86E-07,9.54E-07
-4.84E-07,9.54E-07
-4.82E-07,9.54E-07
-4.80E-07,-8.00E-02
-4.78E-07,9.54E-07
-4.76E-07,9.54E-07
-4.74E-07,9.54E-07
-4.72E-07,9.54E-07
-4.70E-07,-8.00E-02
-4.68E-07,-8.00E-02
-4.66E-07,9.54E-07
-4.64E-07,9.54E-07
-4.62E-07,9.54E-07
-4.60E-07,-8.00E-02
-4.58E-07,-8.00E-02
-4.56E-07,9.54E-07
-4.54E-07,9.54E-07
-4.52E-07,9.54E-07
-4.50E-07,-8.00E-02
-4.48E-07,-8.00E-02
-4.46E-07,9.54E-07
-4.44E-07,9.54E-07
-4.42E-07,9.54E-07
-4.40E-07,-8.00E-02
-4.38E-07,-8.00E-02
-4.36E-07,9.54E-07
-4.34E-07,9.54E-07
-4.32E-07,9.54E-07
-4.30E-07,-8.00E-02
-4.28E-07,9.54E-07
-4.26E-07,9.54E-07
-4.24E-07,9.54E-07
-4.22E-07,9.54E-07
-4.20E-07,9.54E-07
-4.18E-07,9.54E-07
-4.16E-07,-8.00E-02
-4.14E-07,9.54E-07
-4.12E-07,9.54E-07
-4.10E-07,-8.00E-02
-4.08E-07,-8.00E-02
-4.06E-07,-8.00E-02
-4.04E-07,9.54E-07
-4.02E-07,9.54E-07
-4.00E-07,-8.00E-02
-3.98E-07,-8.00E-02
-3.96E-07,-8.00E-02
-3.94E-07,9.54E-07
-3.92E-07,9.54E-07
-3.90E-07,-8.00E-02
-3.88E-07,9.54E-07
-3.86E-07,-8.00E-02
-3.84E-07,9.54E-07
-3.82E-07,9.54E-07
-3.80E-07,-8.00E-02
-3.78E-07,-8.00E-02
-3.76E-07,9.54E-07
-3.74E-07,9.54E-07
-3.72E-07,9.54E-07
-3.70E-07,-8.00E-02
-3.68E-07,-8.00E-02
-3.66E-07,9.54E-07
-3.64E-07,9.54E-07
-3.62E-07,9.54E-07
-3.60E-07,-8.00E-02
-3.58E-07,-8.00E-02
-3.56E-07,9.54E-07
-3.54E-07,9.54E-07
-3.52E-07,9.54E-07
-3.50E-07,-8.00E-02
-3.48E-07,-8.00E-02
-3.46E-07,-8.00E-02
-3.44E-07,9.54E-07
-3.42E-07,9.54E-07
-3.40E-07,-8.00E-02
-3.38E-07,-8.00E-02
-3.36E-07,9.54E-07
-3.34E-07,9.54E-07
-3.32E-07,9.54E-07
-3.30E-07,-8.00E-02
-3.28E-07,9.54E-07
-3.26E-07,9.54E-07
-3.24E-07,9.54E-07
-3.22E-07,9.54E-07
-3.20E-07,-8.00E-02
-3.18E-07,-8.00E-02
-3.16E-07,-8.00E-02
-3.14E-07,9.54E-07
-3.12E-07,9.54E-07
-3.10E-07,-8.00E-02
-3.08E-07,-8.00E-02
-3.06E-07,9.54E-07
-3.04E-07,-8.00E-02
-3.02E-07,9.54E-07
-3.00E-07,-8.00E-02
-2.98E-07,-8.00E-02
-2.96E-07,-8.00E-02
-2.94E-07,9.54E-07
-2.92E-07,9.54E-07
-2.90E-07,-8.00E-02
-2.88E-07,-8.00E-02
-2.86E-07,-8.00E-02
-2.84E-07,9.54E-07
-2.82E-07,9.54E-07
-2.80E-07,-8.00E-02
-2.78E-07,-8.00E-02
-2.76E-07,9.54E-07
-2.74E-07,9.54E-07
-2.72E-07,9.54E-07
-2.70E-07,9.54E-07
-2.68E-07,-8.00E-02
-2.66E-07,9.54E-07
-2.64E-07,9.54E-07
-2.62E-07,9.54E-07
-2.60E-07,9.54E-07
-2.58E-07,-8.00E-02
-2.56E-07,9.54E-07
-2.54E-07,9.54E-07
-2.52E-07,9.54E-07
-2.50E-07,-8.00E-02
-2.48E-07,-8.00E-02
-2.46E-07,9.54E-07
-2.44E-07,9.54E-07
-2.42E-07,9.54E-07
-2.40E-07,-8.00E-02
-2.38E-07,-8.00E-02
-2.36E-07,9.54E-07
-2.34E-07,9.54E-07
-2.32E-07,9.54E-07
-2.30E-07,-8.00E-02
-2.28E-07,-8.00E-02
-2.26E-07,9.54E-07
-2.24E-07,9.54E-07
-2.22E-07,9.54E-07
-2.20E-07,-8.00E-02
-2.18E-07,-8.00E-02
-2.16E-07,9.54E-07
-2.14E-07,9.54E-07
-2.12E-07,9.54E-07
-2.10E-07,-8.00E-02
-2.08E-07,-8.00E-02
-2.06E-07,9.54E-07
-2.04E-07,9.54E-07
-2.02E-07,9.54E-07
-2.00E-07,9.54E-07
-1.98E-07,-8.00E-02
-1.96E-07,9.54E-07
-1.94E-07,9.54E-07
-1.92E-07,9.54E-07
-1.90E-07,-8.00E-02
-1.88E-07,-8.00E-02
-1.86E-07,-8.00E-02
-1.84E-07,9.54E-07
-1.82E-07,9.54E-07
-1.80E-07,-8.00E-02
-1.78E-07,9.54E-07
-1.76E-07,-8.00E-02
-1.74E-07,9.54E-07
-1.72E-07,9.54E-07
-1.70E-07,-8.00E-02
-1.68E-07,-8.00E-02
-1.66E-07,9.54E-07
-1.64E-07,9.54E-07
-1.62E-07,9.54E-07
-1.60E-07,-8.00E-02
-1.58E-07,-8.00E-02
-1.56E-07,9.54E-07
-1.54E-07,9.54E-07
-1.52E-07,9.54E-07
-1.50E-07,-8.00E-02
-1.48E-07,-8.00E-02
-1.46E-07,9.54E-07
-1.44E-07,9.54E-07
-1.42E-07,9.54E-07
-1.40E-07,-8.00E-02
-1.38E-07,-8.00E-02
-1.36E-07,9.54E-07
-1.34E-07,9.54E-07
-1.32E-07,9.54E-07
-1.30E-07,-8.00E-02
-1.28E-07,9.54E-07
-1.26E-07,-8.00E-02
-1.24E-07,9.54E-07
-1.22E-07,9.54E-07
-1.20E-07,-8.00E-02
-1.18E-07,-8.00E-02
-1.16E-07,9.54E-07
-1.14E-07,9.54E-07
-1.12E-07,9.54E-07
-1.10E-07,-8.00E-02
-1.08E-07,-8.00E-02
-1.06E-07,9.54E-07
-1.04E-07,9.54E-07
-1.02E-07,9.54E-07
-1.00E-07,-8.00E-02
-9.80E-08,-8.00E-02
-9.60E-08,-8.00E-02
-9.40E-08,9.54E-07
-9.20E-08,9.54E-07
-9.00E-08,-8.00E-02
-8.80E-08,-8.00E-02
-8.60E-08,-8.00E-02
-8.40E-08,9.54E-07
-8.20E-08,9.54E-07
-8.00E-08,-8.00E-02
-7.80E-08,-8.00E-02
-7.60E-08,9.54E-07
-7.40E-08,9.54E-07
-7.20E-08,9.54E-07
-7.00E-08,-8.00E-02
-6.80E-08,-8.00E-02
-6.60E-08,9.54E-07
-6.40E-08,9.54E-07
-6.20E-08,9.54E-07
-6.00E-08,-8.00E-02
-5.80E-08,-8.00E-02
-5.60E-08,9.54E-07
-5.40E-08,9.54E-07
-5.20E-08,9.54E-07
-5.00E-08,-8.00E-02
-4.80E-08,-8.00E-02
-4.60E-08,9.54E-07
-4.40E-08,9.54E-07
-4.20E-08,9.54E-07
-4.00E-08,-8.00E-02
-3.80E-08,-8.00E-02
-3.60E-08,9.54E-07
-3.40E-08,9.54E-07
-3.20E-08,9.54E-07
-3.00E-08,-8.00E-02
-2.80E-08,-8.00E-02
-2.60E-08,9.54E-07
-2.40E-08,9.54E-07
-2.20E-08,9.54E-07
-2.00E-08,-8.00E-02
-1.80E-08,-8.00E-02
-1.60E-08,9.54E-07
-1.40E-08,9.54E-07
-1.20E-08,9.54E-07
-1.00E-08,-8.00E-02
-8.00E-09,-8.00E-02
-6.00E-09,-8.00E-02
-4.00E-09,9.54E-07
-2.00E-09,9.54E-07
-8.53E-13,-8.00E-02
2.00E-09,-8.00E-02
4.00E-09,-8.00E-02
6.00E-09,9.54E-07
8.00E-09,9.54E-07
1.00E-08,-8.00E-02
1.20E-08,-8.00E-02
1.40E-08,-8.00E-02
1.60E-08,9.54E-07
1.80E-08,9.54E-07
2.00E-08,-8.00E-02
2.20E-08,-8.00E-02
2.40E-08,9.54E-07
2.60E-08,9.54E-07
2.80E-08,9.54E-07
3.00E-08,-8.00E-02
3.20E-08,9.54E-07
3.40E-08,-8.00E-02
3.60E-08,9.54E-07
3.80E-08,9.54E-07
4.00E-08,-8.00E-02
4.20E-08,-8.00E-02
4.40E-08,9.54E-07
4.60E-08,9.54E-07
4.80E-08,9.54E-07
5.00E-08,-8.00E-02
5.20E-08,-8.00E-02
5.40E-08,9.54E-07
5.60E-08,9.54E-07
5.80E-08,9.54E-07
6.00E-08,-8.00E-02
6.20E-08,-8.00E-02
6.40E-08,-8.00E-02
6.60E-08,9.54E-07
6.80E-08,9.54E-07
7.00E-08,9.54E-07
